,bin,#recs,#g,#b,%g,%b,tot,cg,cb,score_raw,prob(%),odds,log_odds,log_odds_adj,fit,score_calib
71,71.0,980.0,976.0,4.0,99.59183673469387,0.4081632653061291,69580.0,69560.0,46.0,0.004016510949378461,0.40816326530612246,0.00409938524590164,-7.930376708879371,-7.930376708879371,-7.180906030103639,522.8204412956744
72,72.0,981.0,977.0,4.0,99.59225280326197,0.40774719673802906,70632.0,70537.0,50.0,0.004176489546923696,0.4077471967380224,0.004095189355168885,-7.93185412328487,-7.930376708879371,-7.120278425925519,524.0329933792369
73,73.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,71540.0,71516.0,51.0,0.004342513747585316,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-7.930376708879371,-7.0602393030544235,525.2337758366588
74,74.0,980.0,980.0,0.0,100.0,0.0,72520.0,72496.0,51.0,0.004516521048163537,0.0,1.020408163265306e-06,-19.902422223664658,-7.930376708879371,-7.000179053485144,526.4349808280443
75,75.0,981.0,978.0,3.0,99.69418960244649,0.3058103975535147,73575.0,73474.0,54.0,0.0047135750775678924,0.3058103975535168,0.0030685071574642125,-8.348247336016033,-7.930376708879371,-6.935381073907263,527.730940419602
76,76.0,980.0,979.0,1.0,99.89795918367346,0.10204081632653583,74480.0,74453.0,55.0,0.004925495411123076,0.10204081632653061,0.0010224719101123594,-9.93372307542979,-7.930376708879371,-6.869147382780588,529.0556142421354
77,77.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,75460.0,75430.0,58.0,0.005151291807440347,0.30612244897959184,0.00307164790174002,-8.346771433032185,-7.930376708879371,-6.802129449359314,530.395972910561
78,78.0,981.0,976.0,5.0,99.49031600407747,0.5096839959225292,76518.0,76406.0,63.0,0.005400584580915317,0.509683995922528,0.0051239754098360655,-7.6085207325174,-7.6085207325174,-6.731968032809848,531.7992012415502
79,79.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,77420.0,77383.0,66.0,0.005679625110749498,0.30612244897959184,0.00307164790174002,-8.346771433032185,-7.6085207325174,-6.657706556523255,533.2844307672822
80,80.0,981.0,979.0,2.0,99.79612640163099,0.20387359836901453,78480.0,78362.0,68.0,0.005979826916803537,0.2038735983690112,0.0020439223697650663,-8.934443882360041,-7.6085207325174,-6.582309104582361,534.7923798061
81,81.0,980.0,974.0,6.0,99.38775510204081,0.6122448979591866,79380.0,79336.0,74.0,0.006297257973706816,0.6122448979591837,0.006161190965092403,-7.34257503222291,-7.34257503222291,-6.507095110598285,536.2966596857816
82,82.0,980.0,972.0,8.0,99.18367346938776,0.816326530612244,80360.0,80308.0,82.0,0.006637527751799097,0.8163265306122449,0.00823148148148148,-6.924632177995786,-6.924632177995786,-6.431047500104727,537.8176118956527
83,83.0,981.0,976.0,5.0,99.49031600407747,0.5096839959225292,81423.0,81284.0,87.0,0.007037025556610691,0.509683995922528,0.0051239754098360655,-7.6085207325174,-6.924632177995786,-6.347114088769819,539.4962801223509
84,84.0,980.0,978.0,2.0,99.79591836734694,0.20408163265305745,82320.0,82262.0,89.0,0.007491453168516698,0.20408163265306123,0.0020460122699386503,-8.93296948770858,-6.924632177995786,-6.257814322857745,541.2822754405923
85,85.0,980.0,977.0,3.0,99.6938775510204,0.3061224489795933,83300.0,83239.0,92.0,0.008001377292657562,0.30612244897959184,0.00307164790174002,-8.346771433032185,-6.924632177995786,-6.164423433259609,543.150093232555
86,86.0,981.0,976.0,5.0,99.49031600407747,0.5096839959225292,84366.0,84215.0,97.0,0.008596672211357008,0.509683995922528,0.0051239754098360655,-7.6085207325174,-6.924632177995786,-6.063267952489257,545.1732028479621
87,87.0,980.0,969.0,11.0,98.87755102040816,1.1224489795918373,85260.0,85184.0,108.0,0.009307561521200807,1.1224489795918366,0.011352941176470588,-6.460790088644346,-6.460790088644346,-5.951951004545571,547.3995418068358
88,88.0,981.0,973.0,8.0,99.18450560652396,0.8154943934760439,86328.0,86157.0,116.0,0.01017356501774505,0.8154943934760448,0.008223021582733813,-6.926115669171116,-6.460790088644346,-5.828060030972286,549.8773612783016
